Country,FIFA,ISO,latitude,longitude
Peru,PER,PER,-9.189967,-75.015152
Philippines,PHI,PHL,12.879721,121.774017
Poland,POL,POL,51.919438,19.145136
Portugal,POR,PRT,39.399872,-8.224454
Puerto Rico,PUR,PRI,18.220833,-66.590149
Qatar,QAT,QAT,25.354826,51.183884
Romania,ROU,ROU,45.943161,24.96676
Russian Federation,RUS,RUS,61.52401,105.318756
Rwanda,RWA,RWA,-1.940278,29.873888
Saint Kitts and Nevis,SKN,KNA,17.357822,-62.782998
Saint Lucia,LCA,LCA,13.909444,-60.978893
Saint Vincent and the Grenadines,VIN,VCT,12.984305,-61.287228
Samoa,SAM,WSM,-13.759029,-172.104629
San Marino,SMR,SMR,43.94236,12.457777
Sao Tome and Principe,STP,STP,0.18636,6.613081
Saudi Arabia,KSA,SAU,23.885942,45.079162
Scotland,SCO,GB-SCT,57.092069,-4.747962
Senegal,SEN,SEN,14.497401,-14.452362
Serbia,SRB,SRB,44.016521,21.005859
Seychelles,SEY,SYC,-4.679574,55.491977
Sierra Leone,SLE,SLE,8.460555,-11.779889
Singapore,SIN,SGP,1.352083,103.819836
Slovakia,SVK,SVK,48.669026,19.699024
Slovenia,SVN,SVN,46.151241,14.995463
Solomon Islands,SOL,SLB,-9.64571,160.156194
Somalia,SOM,SOM,5.152149,46.199616
South Africa,RSA,ZAF,-30.559482,22.937506
South Sudan,SSD,SSD,7.591712,29.931338
Spain,ESP,ESP,40.463667,-3.74922
Sri Lanka,SRI,LKA,7.873054,80.771797
Sudan,SDN,SDN,12.862807,30.217636
Suriname,SUR,SUR,3.919305,-56.027783
Sweden,SWE,SWE,60.128161,18.643501
Switzerland,SUI,CHE,46.818188,8.227512
Syria,SYR,SYR,34.802075,38.996815
Taiwan,TPE,TWN,23.69781,120.960515
Tajikistan,TJK,TJK,38.861034,71.276093
Tanzania,TAN,TZA,-6.369028,34.888822
Thailand,THA,THA,15.870032,100.992541
TimorLeste,TLS,TLS,-8.874217,125.727539
Togo,TOG,TGO,8.619543,0.824782
Tonga,TGA,TON,-21.178986,-175.198242
Trinidad and Tobago,TRI,TTO,10.691803,-61.222503
Tunisia,TUN,TUN,33.886917,9.537499
Turkey,TUR,TUR,38.963745,35.243322
Turkmenistan,TKM,TKM,38.969719,59.556278
Turks and Caicos Islands,TCA,TCA,21.694025,-71.797928
Uganda,UGA,UGA,1.373333,32.290275
Ukraine,UKR,UKR,48.379433,31.16558
United Arab Emirates,UAE,ARE,23.424076,53.847818
United States,USA,USA,37.09024,-95.712891
United States Virgin Islands,VIR,VIR,18.335765,-64.896335
Uruguay,URU,URY,-32.522779,-55.765835
Uzbekistan,UZB,UZB,41.377491,64.585262
Vanuatu,VAN,VUT,-15.376706,166.959158
Venezuela,VEN,VEN,6.42375,-66.58973
Vietnam,VIE,VNM,14.058324,108.277199
Wales,WAL,GB-WLS,52.002437,-4.374426
Yemen,YEM,YEM,15.552727,48.516388
Zambia,ZAM,ZMB,-13.133897,27.849332
Zimbabwe,ZIM,ZWE,-19.015438,29.154857
Guadeloupe,GLP,GLP,16.995971,-62.067641
French Guiana,GUF,GUF,3.933889,-53.125782
Kosovo,KVX,XKX,42.602636,20.902977
Martinique,MTQ,MTQ,14.641528,-61.024174
Reunion,REU,REU,-21.115141,55.536384
